iter	Logloss
0	0.6802506501
1	0.6663408513
2	0.6536742367
3	0.6411841428
4	0.6291330664
5	0.6176747704
6	0.6072345526
7	0.5976877682
8	0.5881764813
9	0.5794995246
10	0.5707254703
11	0.5630783338
12	0.5550750441
13	0.5478651135
14	0.5412879816
15	0.5345504187
16	0.5288088195
17	0.5229840961
18	0.5172624999
19	0.5121975203
20	0.5073948377
21	0.5024043458
22	0.4976025334
23	0.4932932264
24	0.4904148292
25	0.4871304488
26	0.4831867854
27	0.4796673047
28	0.4769448432
29	0.4738178445
30	0.4708401473
31	0.4682630962
32	0.4658095441
33	0.4635591013
34	0.4611770716
35	0.4591517893
36	0.4570285473
37	0.4547082275
38	0.4529206746
39	0.4510185621
40	0.4493142486
41	0.4473287859
42	0.4456968793
43	0.4439881836
44	0.4423245404
45	0.440813119
46	0.4393679655
47	0.4377790741
48	0.4364774229
49	0.4351179435
50	0.4338507802
51	0.432600621
52	0.4314121022
53	0.4302698428
54	0.4293141443
55	0.428250554
56	0.4271277329
57	0.4260257715
58	0.4251191011
59	0.4240924147
60	0.4232419475
61	0.4224938973
62	0.4217145237
63	0.4208631888
64	0.4200817992
65	0.4194713475
66	0.418799853
67	0.4179831294
68	0.4171976844
69	0.4169128985
70	0.4164112801
71	0.415702225
72	0.4151147597
73	0.4144083804
74	0.4137853047
75	0.4131219248
76	0.4126310197
77	0.4120114503
78	0.4114863658
79	0.4107438849
80	0.4101516629
81	0.40959688
82	0.4090466229
83	0.4086171687
84	0.4080846692
85	0.4075546541
86	0.4070332527
87	0.4065321732
88	0.4061109414
89	0.4056647804
90	0.4051215629
91	0.4047200995
92	0.4042966782
93	0.4039548052
94	0.4034966545
95	0.4030939194
96	0.4025960252
97	0.4021706215
98	0.4018257416
99	0.4013700171
100	0.4008806706
101	0.4005480236
102	0.4003182612
103	0.3999868332
104	0.3995657911
105	0.3992273122
106	0.3989050594
107	0.3986046199
108	0.3982729319
109	0.3979071731
110	0.3975707974
111	0.3971595725
112	0.3968732277
113	0.3965723848
114	0.396295469
115	0.3960425268
116	0.3957845758
117	0.3954897787
118	0.3951950811
119	0.3949394857
120	0.3945137146
121	0.394249077
122	0.3940285488
123	0.3937409025
124	0.3934281855
125	0.3932451306
126	0.3929184513
127	0.3927342847
128	0.3924915618
129	0.392242767
130	0.392044247
131	0.3918303056
132	0.3915657647
133	0.3914365679
134	0.3912220441
135	0.3909678065
136	0.3907847109
137	0.3906191475
138	0.3905196813
139	0.3903252152
140	0.3902038252
141	0.3899785613
142	0.3898136977
143	0.38958693
144	0.3894906585
145	0.3894147675
146	0.389165993
147	0.3889230266
148	0.388703285
149	0.3884749111
150	0.3882712262
151	0.3881341687
152	0.3879342784
153	0.3876966921
154	0.3874812342
155	0.3872998779
156	0.3870469091
157	0.3868217486
158	0.3866770771
159	0.3864876155
160	0.386277036
161	0.3860942594
162	0.3858752949
163	0.3856578914
164	0.3855143033
165	0.3852665868
166	0.3850665406
167	0.3848449895
168	0.3846395785
169	0.3843255739
170	0.3841381397
171	0.3839691333
172	0.3837813974
173	0.3836383669
174	0.3834341727
175	0.3832375885
176	0.3830498633
177	0.3829085186
178	0.3826878288
179	0.3824875108
180	0.3823298507
181	0.38219422
182	0.3820690271
183	0.3818698358
184	0.3817433308
185	0.3815510572
186	0.381389706
187	0.381278925
188	0.3811105293
189	0.380948489
190	0.3807795963
191	0.3805055573
192	0.3803225724
193	0.38015866
194	0.3799544526
195	0.3797787068
196	0.3796563821
197	0.3795127537
198	0.3794028199
199	0.3792252984
200	0.3790381894
201	0.3788313725
202	0.3786494669
203	0.3784093562
204	0.3782834148
205	0.3780908853
206	0.3779977171
207	0.3778217091
208	0.3776424608
209	0.3774714886
210	0.3773265872
211	0.3771930554
212	0.3770021691
213	0.3768377791
214	0.3766900411
215	0.3765102097
216	0.376362752
217	0.3762314088
218	0.3761618933
219	0.376064093
220	0.3758798731
221	0.3756582587
222	0.3755511486
223	0.375389008
224	0.3752832214
225	0.3751685542
226	0.3750974589
227	0.3749560281
228	0.3747137081
229	0.3746225091
230	0.3744756629
231	0.3743315942
232	0.3742126465
233	0.3740834366
234	0.3738778952
235	0.3737093193
236	0.3736459127
237	0.3735920729
238	0.3734532296
239	0.3733524159
240	0.3731794862
241	0.3730711934
242	0.3729626852
243	0.3726644819
244	0.3724927292
245	0.3724245933
246	0.3723195676
247	0.3721628861
248	0.3719887197
249	0.3718596318
250	0.3717844704
251	0.3717378663
252	0.371557297
253	0.3714563242
254	0.3712712814
255	0.3711561064
256	0.3710957189
257	0.3709670762
258	0.3708420164
259	0.3707323746
260	0.3706164097
261	0.3704687264
262	0.3704005519
263	0.3701920105
264	0.3699300129
265	0.3698176295
266	0.3696680413
267	0.3695940783
268	0.3694185961
269	0.3693011329
270	0.3691131689
271	0.369023159
272	0.3688559395
273	0.3687899572
274	0.3686963877
275	0.3685635198
276	0.3684274344
277	0.3683463446
278	0.3682729741
279	0.3681458528
280	0.3681363734
281	0.3680084538
282	0.3678888294
283	0.3677920076
284	0.3676188609
285	0.3674338876
286	0.3673921117
287	0.3672648702
288	0.3671349361
289	0.3670180258
290	0.366891068
291	0.3666561765
292	0.3664732227
293	0.3663535592
294	0.3662505612
295	0.3661650198
296	0.3660382244
297	0.3658600273
298	0.3658130011
299	0.3657053082
300	0.3656045814
301	0.3654158054
302	0.3652611748
303	0.3650902946
304	0.3649952788
305	0.3648067988
306	0.3647657199
307	0.3646945461
308	0.3645522489
309	0.3644930676
310	0.3643850707
311	0.3642430942
312	0.3641168292
313	0.3640151502
314	0.3639130179
315	0.3637933218
316	0.36363114
317	0.3634883433
318	0.3633467642
319	0.3632133164
320	0.3631184747
321	0.3630227788
322	0.3629062571
323	0.3628305442
324	0.3626694073
325	0.3625890596
326	0.3625240514
327	0.3623900235
328	0.3623123043
329	0.362230825
330	0.3620888255
331	0.3619107188
332	0.3617963335
