iter	Passed	Remaining
408	5072	7330
409	5086	7319
410	5101	7311
411	5115	7301
412	5130	7291
413	5143	7280
414	5157	7270
415	5171	7260
416	5185	7250
417	5200	7241
418	5214	7230
419	5228	7220
420	5243	7211
421	5258	7202
422	5272	7191
423	5286	7181
424	5303	7175
425	5318	7166
426	5333	7156
427	5347	7146
428	5362	7137
429	5377	7128
430	5390	7116
431	5404	7106
432	5419	7097
433	5434	7087
434	5449	7078
435	5464	7069
436	5482	7063
437	5497	7054
438	5514	7046
439	5529	7038
440	5545	7029
441	5559	7018
442	5574	7008
443	5588	6998
444	5603	6988
445	5617	6977
446	5633	6969
447	5647	6958
448	5662	6948
449	5679	6941
450	5694	6931
451	5708	6920
452	5722	6910
453	5738	6901
454	5754	6892
455	5770	6884
456	5786	6875
457	5802	6867
458	5818	6858
459	5833	6848
460	5846	6836
461	5862	6826
462	5877	6816
463	5892	6806
464	5906	6795
465	5920	6784
466	5935	6773
467	5949	6762
468	5964	6753
469	5979	6742
470	5998	6736
471	6011	6724
472	6025	6712
473	6040	6703
474	6055	6692
475	6069	6681
476	6082	6669
477	6097	6658
478	6112	6648
479	6126	6637
480	6141	6626
481	6155	6615
482	6169	6604
483	6185	6593
484	6199	6583
485	6213	6571
486	6227	6560
487	6241	6548
488	6257	6538
489	6271	6527
490	6284	6515
491	6298	6503
492	6311	6490
493	6325	6479
494	6340	6468
495	6354	6457
496	6368	6445
497	6381	6432
498	6393	6419
499	6405	6405
500	6418	6392
501	6429	6378
502	6442	6366
503	6455	6352
504	6469	6341
505	6483	6329
506	6497	6318
507	6510	6305
508	6522	6291
509	6535	6279
510	6548	6266
511	6560	6252
512	6573	6240
513	6586	6227
514	6598	6214
515	6611	6201
516	6624	6188
517	6637	6176
518	6650	6163
519	6662	6150
520	6675	6137
521	6687	6123
522	6700	6111
523	6714	6099
524	6727	6086
525	6740	6074
526	6754	6062
527	6767	6049
528	6781	6037
529	6795	6025
530	6809	6014
531	6824	6003
532	6839	5992
533	6853	5980
534	6867	5968
535	6882	5957
536	6895	5944
537	6909	5933
538	6923	5921
539	6937	5909
540	6950	5897
541	6963	5884
542	6975	5871
543	6989	5858
544	7002	5846
545	7015	5833
546	7028	5820
547	7040	5807
548	7052	5793
549	7064	5779
550	7076	5766
551	7088	5752
552	7103	5741
553	7113	5726
554	7124	5712
555	7136	5699
556	7149	5685
557	7161	5672
558	7175	5660
559	7187	5647
560	7202	5636
561	7216	5624
562	7230	5612
563	7243	5599
564	7256	5587
565	7271	5575
566	7285	5563
567	7303	5554
568	7316	5542
569	7330	5529
570	7343	5517
571	7356	5504
572	7370	5492
573	7384	5480
574	7397	5467
575	7411	5455
576	7424	5443
577	7439	5431
578	7452	5419
579	7466	5406
580	7480	5394
581	7494	5382
582	7509	5371
583	7523	5359
584	7538	5347
585	7551	5334
586	7565	5322
587	7580	5311
588	7594	5299
589	7609	5287
590	7623	5276
591	7639	5264
592	7653	5253
593	7667	5240
594	7681	5228
595	7695	5216
596	7707	5203
597	7722	5191
598	7735	5178
599	7749	5166
600	7761	5152
601	7773	5139
602	7786	5126
603	7801	5114
604	7817	5103
605	7830	5090
606	7842	5077
607	7857	5065
608	7868	5052
609	7881	5038
610	7894	5025
611	7906	5012
612	7919	4999
613	7960	5004
614	7972	4991
615	7986	4978
616	8003	4968
617	8017	4955
618	8030	4942
619	8047	4932
620	8068	4924
621	8082	4912
622	8094	4898
623	8108	4885
624	8120	4872
625	8132	4858
626	8144	4845
627	8156	4831
628	8168	4817
629	8179	4803
630	8191	4790
631	8204	4777
632	8217	4764
633	8234	4753
634	8248	4741
635	8262	4728
636	8275	4715
637	8293	4705
638	8306	4692
639	8320	4680
640	8334	4667
641	8351	4657
642	8366	4645
643	8381	4633
644	8394	4620
645	8409	4608
646	8423	4596
647	8438	4583
648	8454	4572
649	8469	4560
650	8485	4549
651	8504	4538
652	8517	4526
653	8533	4514
654	8551	4504
655	8569	4493
656	8584	4481
657	8600	4469
658	8615	4458
659	8630	4446
660	8646	4434
661	8661	4422
662	8678	4411
663	8694	4399
664	8709	4387
665	8725	4375
666	8741	4364
667	8761	4354
668	8775	4341
669	8791	4330
670	8808	4319
671	8828	4309
672	8842	4296
673	8857	4284
674	8873	4272
675	8888	4260
676	8903	4248
677	8918	4235
678	8934	4223
679	8951	4212
680	8967	4200
681	8984	4189
682	9001	4177
683	9016	4165
684	9029	4152
685	9047	4141
686	9061	4128
687	9076	4116
688	9092	4104
689	9108	4092
690	9124	4080
691	9139	4067
692	9155	4055
693	9171	4043
694	9187	4032
695	9203	4020
696	9218	4007
697	9234	3995
698	9250	3983
699	9265	3971
700	9280	3958
701	9296	3946
702	9310	3933
703	9325	3920
704	9340	3908
705	9355	3896
706	9372	3884
707	9387	3871
708	9403	3859
709	9421	3848
710	9438	3836
711	9456	3825
712	9471	3812
713	9489	3800
714	9507	3789
715	9523	3777
716	9539	3765
717	9556	3753
718	9572	3741
719	9587	3728
720	9641	3730
721	9672	3724
722	9689	3712
723	9708	3701
724	9723	3688
725	9753	3681
726	9777	3671
727	9792	3658
728	9806	3645
729	9837	3638
730	9853	3625
731	9870	3613
732	9884	3600
733	9898	3587
734	9915	3574
735	9930	3561
736	9943	3548
737	9959	3535
738	9977	3523
739	9992	3510
740	10007	3498
741	10023	3485
742	10039	3472
743	10058	3461
744	10078	3449
745	10094	3436
746	10108	3423
747	10122	3410
748	10136	3396
749	10150	3383
750	10164	3370
751	10179	3356
752	10193	3343
753	10209	3330
754	10223	3317
755	10239	3304
756	10253	3291
757	10268	3278
758	10282	3264
759	10295	3251
760	10310	3237
761	10327	3225
762	10342	3212
763	10357	3199
764	10372	3186
765	10387	3173
766	10404	3160
767	10421	3148
768	10436	3135
769	10450	3121
770	10464	3108
771	10478	3094
772	10492	3081
773	10509	3068
774	10523	3055
775	10536	3041
776	10550	3028
777	10565	3014
778	10579	3001
779	10593	2987
780	10608	2974
781	10621	2961
782	10634	2947
783	10649	2933
784	10664	2920
785	10679	2907
786	10693	2894
787	10708	2880
788	10724	2867
789	10738	2854
790	10752	2841
791	10766	2827
792	10781	2814
793	10796	2801
794	10810	2787
795	10824	2774
796	10841	2761
797	10855	2747
798	10869	2734
799	10883	2720
800	10903	2708
801	10924	2697
802	10939	2683
803	10956	2671
804	10972	2657
805	10984	2644
806	11000	2630
807	11012	2616
808	11026	2603
809	11041	2589
810	11054	2576
811	11068	2562
812	11081	2548
813	11095	2535
814	11109	2521
815	11123	2508
816	11138	2494
817	11152	2481
818	11165	2467
819	11179	2454
820	11193	2440
821	11208	2427
822	11222	2413
823	11239	2400
824	11253	2387
825	11267	2373
826	11281	2359
827	11295	2346
828	11308	2332
829	11322	2319
830	11338	2305
831	11353	2292
832	11367	2278
833	11383	2265
834	11398	2252
835	11413	2239
836	11428	2225
837	11447	2212
838	11461	2199
839	11477	2186
840	11492	2172
841	11508	2159
842	11523	2146
843	11539	2132
844	11554	2119
845	11569	2106
846	11584	2092
847	11600	2079
848	11614	2065
849	11631	2052
850	11646	2039
851	11662	2025
852	11677	2012
853	11691	1998
854	11705	1985
855	11720	1971
856	11735	1958
857	11749	1944
858	11763	1930
859	11777	1917
860	11792	1903
861	11809	1890
862	11827	1877
863	11844	1864
864	11860	1851
865	11875	1837
866	11893	1824
867	11910	1811
868	11929	1798
869	11948	1785
870	11966	1772
871	11984	1759
872	12001	1745
873	12018	1732
874	12035	1719
875	12054	1706
876	12070	1692
877	12085	1679
878	12102	1665
879	12119	1652
880	12136	1639
881	12154	1626
882	12170	1612
883	12184	1598
884	12198	1585
885	12218	1572
886	12235	1558
887	12253	1545
888	12268	1531
889	12286	1518
890	12302	1504
891	12318	1491
892	12333	1477
893	12349	1464
894	12366	1450
895	12383	1437
896	12403	1424
897	12419	1410
898	12437	1397
899	12455	1383
900	12473	1370
901	12490	1357
902	12506	1343
903	12523	1329
904	12540	1316
905	12557	1302
906	12574	1289
907	12592	1275
908	12609	1262
909	12624	1248
910	12640	1234
911	12656	1221
912	12673	1207
913	12689	1193
914	12703	1180
915	12717	1166
916	12733	1152
917	12748	1138
918	12764	1125
919	12781	1111
920	12795	1097
921	12809	1083
922	12825	1069
923	12839	1056
924	12854	1042
925	12870	1028
926	12885	1014
927	12903	1001
928	12919	987
929	12933	973
930	12949	959
931	12963	945
932	12978	932
933	12993	918
934	13007	904
935	13023	890
936	13036	876
937	13050	862
938	13063	848
939	13078	834
940	13091	820
941	13106	806
942	13119	793
943	13132	779
944	13146	765
945	13160	751
946	13174	737
947	13188	723
948	13201	709
949	13215	695
950	13228	681
951	13241	667
952	13255	653
953	13268	639
954	13281	625
955	13294	611
956	13308	597
957	13322	584
958	13336	570
959	13350	556
960	13364	542
961	13377	528
962	13392	514
963	13407	500
964	13420	486
965	13436	472
966	13450	459
967	13464	445
968	13477	431
969	13491	417
970	13504	403
971	13517	389
972	13531	375
973	13545	361
974	13559	347
975	13573	333
976	13587	319
977	13600	305
978	13613	292
979	13628	278
980	13643	264
981	13657	250
982	13672	236
983	13686	222
984	13700	208
985	13715	194
986	13728	180
987	13743	166
988	13755	152
989	13768	139
990	13782	125
991	13796	111
992	13809	97
993	13824	83
994	13838	69
995	13852	55
996	13867	41
997	13881	27
998	13895	13
999	13907	0
